"sk_grupo","sk_autor","sk_data_autorado","autorado_em","sk_data_commitado","commitado_em","e_merge","linhas_adicionadas","linhas_removidas","linhas_total","grupo","commit_id","titulo","mensagem"
"1","84","20250401","2025-04-01T14:00:44.000-03:00","20250401","2025-04-01T14:00:44.000-03:00","0","1","1","2","G01","06ab8922","Corrige plural","Corrige plural"
"1","13","20260611","2026-06-11T18:16:06.000+00:00","20260611","2026-06-11T18:16:06.000+00:00","1","756","1001","1757","G01","07845779","Merge branch 'refactor/refatoracao-da-estrutura-do-codigo/#194' into 'dev'","Merge branch 'refactor/refatoracao-da-estrutura-do-codigo/#194' into 'dev'

fix/correcao-de-codigo-para-entrega/#194

See merge request graduacao/2026-1b/t28/g01!95"
"1","15","20260624","2026-06-24T14:42:57.000-03:00","20260624","2026-06-24T14:42:57.000-03:00","0","65","1","66","G01","07b95129","docs(wad): atualiza seção 3.8.2 de controle de sessão #273","docs(wad): atualiza seção 3.8.2 de controle de sessão #273
"
"1","17","20260611","2026-06-11T14:12:31.000-03:00","20260611","2026-06-11T14:12:31.000-03:00","0","36","111","147","G01","0871f27b","feat(header): adicionar header padrão para todas as telas #197","feat(header): adicionar header padrão para todas as telas #197
"
"1","12","20260430","2026-04-30T04:48:06.000+00:00","20260430","2026-04-30T04:48:06.000+00:00","1","125","125","250","G01","08796fcf","Merge branch 'docs/wad/Use-Case-alteracao-fluxo-principal' into 'main'","Merge branch 'docs/wad/Use-Case-alteracao-fluxo-principal' into 'main'

docs/wad: altera conteúdo do Use Case

See merge request graduacao/2026-1b/t28/g01!17"
"1","85","20260428","2026-04-28T18:42:35.000+00:00","20260428","2026-04-28T18:42:35.000+00:00","1","109","8","117","G01","08d54194","Merge branch 'main' into 'docs/regras-de-negócio/#12'","Merge branch 'main' into 'docs/regras-de-negócio/#12'

# Conflicts:
#   documentos/wad.md


"
"1","13","20260624","2026-06-24T14:28:07.000-03:00","20260624","2026-06-24T14:28:07.000-03:00","0","11","0","11","G01","0a134ffa","docs(readme): adiciona instrucoes de SMTP nas configuracoes de execucao #272","docs(readme): adiciona instrucoes de SMTP nas configuracoes de execucao #272
"
"1","85","20260529","2026-05-29T09:44:53.000-03:00","20260529","2026-05-29T09:44:53.000-03:00","0","41","4","45","G01","0a4305a9","docs(wad):Adiciona a seção 3.2.7 Padrões Arquiteturais e Princípios SOLID Aplicados","docs(wad):Adiciona a seção 3.2.7 Padrões Arquiteturais e Princípios SOLID Aplicados
"
"1","85","20260505","2026-05-05T15:28:06.000-03:00","20260505","2026-05-05T15:28:06.000-03:00","0","92","59","151","G01","0a4951b9","docs(wad): Conserta erros de nomes em tabelas e erros de formatação do docs","docs(wad): Conserta erros de nomes em tabelas e erros de formatação do docs
"
"1","15","20260625","2026-06-25T16:01:16.000-03:00","20260625","2026-06-25T16:01:16.000-03:00","0","277","146","423","G01","0a8eb77c","docs(wad): preenche secao 4.2 da sprint 4 (#257)","docs(wad): preenche secao 4.2 da sprint 4 (#257)
"
"1","84","20240511","2024-05-11T19:02:53.000-03:00","20240511","2024-05-11T19:02:53.000-03:00","0","4","8","12","G01","0aa78187","Atualização de seções 4.x do WAD","Atualização de seções 4.x do WAD"
"1","13","20260610","2026-06-10T14:44:10.000-03:00","20260610","2026-06-10T14:44:10.000-03:00","0","137","34","171","G01","0aea6419","docs(wad): adiciona a tabela de mapeamento #190","docs(wad): adiciona a tabela de mapeamento #190
"
"1","13","20260623","2026-06-23T13:57:22.000-03:00","20260623","2026-06-23T13:57:22.000-03:00","1","972","257","1229","G01","0b8d144c","Merge branch 'dev' of [url-institucional] into docs/atualizar-readme/#234","Merge branch 'dev' of [url-institucional] into docs/atualizar-readme/#234
"
"1","14","20260626","2026-06-26T03:04:44.000+00:00","20260626","2026-06-26T03:04:44.000+00:00","1","13078","8063","21141","G01","0bca3c13","Merge branch 'dev' into 'main'","Merge branch 'dev' into 'main'

docs(documentos extras): move os documentos extras para a pasta...

See merge request graduacao/2026-1b/t28/g01!148"
"1","85","20260429","2026-04-29T18:53:12.000+00:00","20260429","2026-04-29T18:53:12.000+00:00","1","22","25","47","G01","0bf492db","Merge branch 'docs/introducao-regras-de-negocio/#33' into 'main'","Merge branch 'docs/introducao-regras-de-negocio/#33' into 'main'

Docs/introducao regras de negocio/#33

See merge request graduacao/2026-1b/t28/g01!12"
"1","17","20260616","2026-06-16T08:04:51.000-03:00","20260616","2026-06-16T08:04:51.000-03:00","0","2","2","4","G01","0c07707e","feat(inicio): fazer card de inicio funcionar #229","feat(inicio): fazer card de inicio funcionar #229
"
"1","12","20260612","2026-06-12T17:36:40.000-03:00","20260612","2026-06-12T17:36:40.000-03:00","0","16","8","24","G01","0c6fd37a","docs(wad): preenche seção 6.6 referente ao canvas #221","docs(wad): preenche seção 6.6 referente ao canvas #221
"
"1","85","20260514","2026-05-14T15:16:37.000-03:00","20260514","2026-05-14T15:16:37.000-03:00","0","18","7","25","G01","0c764ed3","docs(wad):adiciona o novo diagrama de classes sem erros #121","docs(wad):adiciona o novo diagrama de classes sem erros #121
"
"1","17","20260623","2026-06-23T11:42:07.000-03:00","20260623","2026-06-23T11:42:07.000-03:00","0","347","104","451","G01","0da764e3","feat(dashboard): adicionar filtros ao dashboard (#248)","feat(dashboard): adicionar filtros ao dashboard (#248)
"
"1","12","20260516","2026-05-16T02:22:15.000+00:00","20260516","2026-05-16T02:22:15.000+00:00","1","53","1","54","G01","0dca0203","Merge branch 'docs/adicionar-wireframe/#85' into 'main'","Merge branch 'docs/adicionar-wireframe/#85' into 'main'

Docs/adicionar wireframe/#85

See merge request graduacao/2026-1b/t28/g01!39"
"1","13","20260521","2026-05-21T11:25:02.000-03:00","20260521","2026-05-21T11:25:02.000-03:00","1","0","0","0","G01","0ddb6ee7","Merge branch 'feat/vizualizar-dashboard-kpi/#145' of [url-institucional] into feat/vizualizar-dashboard-kpi/#145","Merge branch 'feat/vizualizar-dashboard-kpi/#145' of [url-institucional] into feat/vizualizar-dashboard-kpi/#145
"
"1","14","20260622","2026-06-22T15:25:28.000-03:00","20260622","2026-06-22T15:25:28.000-03:00","0","972","257","1229","G01","0df0b3cb","feat/implementa-pagina-de-notificacao/#223: implmenta pagina de notificação","feat/implementa-pagina-de-notificacao/#223: implmenta pagina de notificação
"
"1","17","20260623","2026-06-23T14:46:25.000-03:00","20260623","2026-06-23T14:46:25.000-03:00","0","462","6","468","G01","0e9157b2","feat(inicio): transferir o dashboard para tela de inicio (#248)","feat(inicio): transferir o dashboard para tela de inicio (#248)
"
"1","12","20260529","2026-05-29T23:55:03.000-03:00","20260529","2026-05-29T23:55:03.000-03:00","0","15","3","18","G01","0e94dc68","docs(wad):atualiza fluxo 1 dos wireframes #179","docs(wad):atualiza fluxo 1 dos wireframes #179
"
"1","12","20260612","2026-06-12T17:17:38.000-03:00","20260612","2026-06-12T17:17:38.000-03:00","0","10","0","10","G01","0f2feb14","docs(wad): Preenche a seção 6.3.2 Vantagens #202","docs(wad): Preenche a seção 6.3.2 Vantagens #202
"
"1","17","20260611","2026-06-11T14:20:28.000-03:00","20260611","2026-06-11T14:20:28.000-03:00","0","2","2","4","G01","0f810e85","test(login.routes): atualiza endpoints temporarios para testes #197","test(login.routes): atualiza endpoints temporarios para testes #197
"
"1","85","20260513","2026-05-13T14:30:56.000-03:00","20260513","2026-05-13T14:30:56.000-03:00","0","57","88","145","G01","11a327df","feat:reformula template","feat:reformula template
"
"1","84","20260527","2026-05-27T15:54:23.000-03:00","20260527","2026-05-27T15:54:23.000-03:00","0","346","708","1054","G01","11ac1880","refactor(src): refatora o código e nomenclatura dos arquivos #160","refactor(src): refatora o código e nomenclatura dos arquivos #160
"
"1","85","20260514","2026-05-14T15:58:20.000-03:00","20260514","2026-05-14T15:58:20.000-03:00","0","12","11","23","G01","12a6d3ca","docs(wad):altera toda a nossa seção de introdução de acordo com critérios do professor #121","docs(wad):altera toda a nossa seção de introdução de acordo com critérios do professor #121
"
"1","85","20260427","2026-04-27T14:05:52.000-03:00","20260427","2026-04-27T14:05:52.000-03:00","0","5","7","12","G01","12decd7c","docs(wad) adiciona introducao #2","docs(wad) adiciona introducao #2
"
"1","17","20260609","2026-06-09T14:07:17.000-03:00","20260609","2026-06-09T14:07:17.000-03:00","0","488","0","488","G01","13a5ea6e","feat(css/login): adicionando css de login #197","feat(css/login): adicionando css de login #197
"
"1","15","20260625","2026-06-25T16:33:30.000-03:00","20260625","2026-06-25T16:33:30.000-03:00","0","25","13","38","G01","13c0f995","docs(wad): preenche secao 4.3 da sprint 5 (#257)","docs(wad): preenche secao 4.3 da sprint 5 (#257)
"
"1","85","20260521","2026-05-21T11:56:12.000-03:00","20260521","2026-05-21T11:56:12.000-03:00","0","1","1","2","G01","13d55056","docs(wad):Atualiza o README na versão final","docs(wad):Atualiza o README na versão final
"
"1","15","20260625","2026-06-25T17:47:35.000+00:00","20260625","2026-06-25T17:47:35.000+00:00","1","1","1","2","G01","1478e3e2","Merge branch 'docs/links-integrantes-licensa/#284' into 'dev'","Merge branch 'docs/links-integrantes-licensa/#284' into 'dev'

docs(readme): adiciona links dos integrantes a licensa #284

See merge request graduacao/2026-1b/t28/g01!134"
"1","13","20260521","2026-05-21T10:51:01.000-03:00","20260521","2026-05-21T10:51:01.000-03:00","0","51","0","51","G01","14e8b8d8","feat: adiciona tabela e o teste especificado do dashboard","feat: adiciona tabela e o teste especificado do dashboard
"
"1","14","20260611","2026-06-11T21:22:29.000-03:00","20260611","2026-06-11T21:22:29.000-03:00","1","1687","61","1748","G01","15063e17","Merge remote-tracking branch 'origin/main' into feat/implementacao-front-end/#197","Merge remote-tracking branch 'origin/main' into feat/implementacao-front-end/#197
"
"1","14","20260528","2026-05-28T00:09:21.000+00:00","20260528","2026-05-28T00:09:21.000+00:00","1","13","0","13","G01","155fc5db","Merge branch 'docs/diagrama-gerenciamento-contrato/#129' into 'main'","Merge branch 'docs/diagrama-gerenciamento-contrato/#129' into 'main'

docs(wad): adiciona o diagrama sequencial de gerenciamento de contrato #129

See merge request graduacao/2026-1b/t28/g01!56"
"1","85","20260501","2026-05-01T23:54:42.000-03:00","20260501","2026-05-01T23:54:42.000-03:00","0","56","2","58","G01","15db4068","docs(wad):adiciona a fonte e revisa todo o wad #43","docs(wad):adiciona a fonte e revisa todo o wad #43
"
"1","15","20260625","2026-06-25T22:18:18.000-03:00","20260625","2026-06-25T22:18:18.000-03:00","0","1","1","2","G01","1610569f","docs: atualiza validacao final do WAD #298","docs: atualiza validacao final do WAD #298
"
"1","12","20260625","2026-06-25T17:05:55.000-03:00","20260625","2026-06-25T17:05:55.000-03:00","0","5","1","6","G01","161216f0","docs: preenche o relatorio da primeira leva de testes de usabilidade (#291)","docs: preenche o relatorio da primeira leva de testes de usabilidade (#291)
"
"1","85","20260515","2026-05-15T18:00:18.000-03:00","20260515","2026-05-15T18:00:18.000-03:00","0","7","7","14","G01","163a1bcb","docs(readme): inclui créditos dos professores","docs(readme): inclui créditos dos professores
"
"1","17","20260611","2026-06-11T14:27:38.000-03:00","20260611","2026-06-11T14:27:38.000-03:00","0","274","0","274","G01","17551893","feat(avaliar): adiciona arquivo .ejs para tela avaliar #197","feat(avaliar): adiciona arquivo .ejs para tela avaliar #197
"
"1","14","20260611","2026-06-11T15:09:48.000-03:00","20260611","2026-06-11T15:09:48.000-03:00","1","759","87","846","G01","17876f4e","merge dev into MR 95","merge dev into MR 95
"
"1","85","20260521","2026-05-21T11:07:58.000-03:00","20260521","2026-05-21T11:07:58.000-03:00","0","405","11","416","G01","18c4e95b","feat(contrato): implementa validações das RNs e adiciona documentação #146","feat(contrato): implementa validações das RNs e adiciona documentação #146
"
"1","14","20260502","2026-05-02T01:33:41.000+00:00","20260502","2026-05-02T01:33:41.000+00:00","1","50","162","212","G01","19038ea3","Merge branch 'docs/wad/identar-documentacao/#36' into 'main'","Merge branch 'docs/wad/identar-documentacao/#36' into 'main'

docs(wad): identa a as seções 1, 2 e 3

See merge request graduacao/2026-1b/t28/g01!21"
"1","14","20260611","2026-06-11T23:59:57.000+00:00","20260611","2026-06-11T23:59:57.000+00:00","1","12","2","14","G01","192581d7","Merge branch 'docs/wad/3.2.6_Diagrama_de_Implantacao/#202' into 'dev'","Merge branch 'docs/wad/3.2.6_Diagrama_de_Implantacao/#202' into 'dev'

Docs/wad/3.2.6 diagrama de implantacao/#202

See merge request graduacao/2026-1b/t28/g01!96"
"1","58","20260611","2026-06-11T07:22:04.000+00:00","20260611","2026-06-11T07:22:04.000+00:00","1","129","0","129","G01","1946c92e","Merge branch 'refactor/analise-professor-sem8' into 'dev'","Merge branch 'refactor/analise-professor-sem8' into 'dev'

Draft: Revisão do Professor — Semana 8 (comentários, NÃO altera código)

See merge request graduacao/2026-1b/t28/g01!86"
"1","14","20260528","2026-05-28T00:09:44.000+00:00","20260528","2026-05-28T00:09:44.000+00:00","1","131","63","194","G01","19a30def","Merge branch 'wad/atualiza-seção-3.1.3' into 'main'","Merge branch 'wad/atualiza-seção-3.1.3' into 'main'

Wad/atualiza seção 3.1.3

See merge request graduacao/2026-1b/t28/g01!63"
"1","85","20260611","2026-06-11T15:49:36.000-03:00","20260611","2026-06-11T15:49:36.000-03:00","0","69","0","69","G01","19acbf12","feat(wad): adiciona detalhamento dos 5 casos de teste na  5.1.2 #188","feat(wad): adiciona detalhamento dos 5 casos de teste na  5.1.2 #188
"
"1","12","20260527","2026-05-27T18:26:57.000+00:00","20260527","2026-05-27T18:26:57.000+00:00","1","209","2","211","G01","19fa0e25","Merge branch 'dev' into 'feat/terminando-endpoints/#156'","Merge branch 'dev' into 'feat/terminando-endpoints/#156'

# Conflicts:
#   src/app.ts"
"1","14","20260626","2026-06-26T00:26:52.000+00:00","20260626","2026-06-26T00:26:52.000+00:00","1","87","2","89","G01","1a2a43a0","Merge branch 'docs/wad/preenche-secao-refrente-aos-testes-de-usabilidade/#290' into 'dev'","Merge branch 'docs/wad/preenche-secao-refrente-aos-testes-de-usabilidade/#290' into 'dev'

Docs/wad/preenche secao refrente aos testes de usabilidade/#290

See merge request graduacao/2026-1b/t28/g01!141"
"1","12","20260430","2026-04-30T11:53:47.000+00:00","20260430","2026-04-30T11:53:47.000+00:00","1","6","4","10","G01","1a396db5","Merge branch 'docs/wad/alteracao-imagem-Use-Case/#38' into 'main'","Merge branch 'docs/wad/alteracao-imagem-Use-Case/#38' into 'main'

docs/wad: altera imagens de Use Case

See merge request graduacao/2026-1b/t28/g01!19"
"1","15","20260623","2026-06-23T17:20:55.000-03:00","20260623","2026-06-23T17:20:55.000-03:00","0","14","0","14","G01","1a3b7425","docs(wad): adiciona subseção 3.7.12 Auditoria e atualiza a estrutura da seção 3.7 #255","docs(wad): adiciona subseção 3.7.12 Auditoria e atualiza a estrutura da seção 3.7 #255
"
"1","15","20260609","2026-06-09T15:25:36.000-03:00","20260609","2026-06-09T15:25:36.000-03:00","0","151","0","151","G01","1a6e25fd","docs(wad):Adiciona a seção 3.2.3.1 #205"," docs(wad):Adiciona a seção 3.2.3.1 #205
"
"1","14","20260502","2026-05-02T02:59:38.000+00:00","20260502","2026-05-02T02:59:38.000+00:00","1","41","23","64","G01","1a8580e1","Merge branch 'docs/wad/adiciona-fonte-imagens' into 'main'","Merge branch 'docs/wad/adiciona-fonte-imagens' into 'main'

docs(wad):adiciona a fonte e revisa todo o wad #43

See merge request graduacao/2026-1b/t28/g01!24"
"1","13","20260626","2026-06-26T01:26:40.000+00:00","20260626","2026-06-26T01:26:40.000+00:00","1","10","10","20","G01","1abcdfc3","Merge branch 'docs/wad/corrige-erros-na-secao-de-testes/#301' into 'dev'","Merge branch 'docs/wad/corrige-erros-na-secao-de-testes/#301' into 'dev'

docs: corrige erros na secao de testes (#301)

See merge request graduacao/2026-1b/t28/g01!143"
"1","13","20260622","2026-06-22T15:15:48.000-03:00","20260622","2026-06-22T15:15:48.000-03:00","0","60","2","62","G01","1b06fcc5","docs(readme): adiciona estrutura de pastas do G01-A26 #234","docs(readme): adiciona estrutura de pastas do G01-A26 #234
"
"1","14","20260612","2026-06-12T23:23:01.000+00:00","20260612","2026-06-12T23:23:01.000+00:00","1","650","184","834","G01","1b84469f","Merge branch 'fix/corrigindo-telas/#213' into 'dev'","Merge branch 'fix/corrigindo-telas/#213' into 'dev'

Fix/corrigindo telas/#213

See merge request graduacao/2026-1b/t28/g01!106"
"1","14","20260613","2026-06-13T00:28:35.000+00:00","20260613","2026-06-13T00:28:35.000+00:00","1","261","1354","1615","G01","1b946319","Merge branch 'wad/conserta-erros' into 'dev'","Merge branch 'wad/conserta-erros' into 'dev'

Wad/conserta erros

See merge request graduacao/2026-1b/t28/g01!108"
"1","14","20260528","2026-05-28T15:21:43.000-03:00","20260528","2026-05-28T15:21:43.000-03:00","0","1018","0","1018","G01","1c5388dd","altera testes de integração","altera testes de integração
"
"1","14","20260622","2026-06-22T09:34:20.000-03:00","20260622","2026-06-22T09:34:20.000-03:00","0","1135","1382","2517","G01","1d50a2df","feat/implementa-pagina-de-solicitacao/#224","feat/implementa-pagina-de-solicitacao/#224
"
"1","85","20260417","2026-04-17T17:34:00.000-03:00","20260417","2026-04-17T17:34:00.000-03:00","0","6","46","52","G01","1d571b9a","docs(wad): reverte seção 5 para estrutura original com foco em Jest","docs(wad): reverte seção 5 para estrutura original com foco em Jest

Retorna à estrutura original de duas subseções (5.1 integração automatizada
e 5.2 usabilidade), mantendo apenas white-box/black-box com Jest e removendo
heurísticas Nielsen e acessibilidade — escopo do time de UX.

Co-Authored-By: Claude Opus 4.7 (1M context) <[email]>
"
"1","17","20260609","2026-06-09T07:54:32.000-03:00","20260609","2026-06-09T07:54:32.000-03:00","0","66","0","66","G01","1ed33978","feat(login/index.ejs): adicionando html de login #197","feat(login/index.ejs): adicionando html de login #197
"
"1","13","20260611","2026-06-11T18:40:35.000-03:00","20260611","2026-06-11T18:40:35.000-03:00","0","26","0","26","G01","1ef43fa9","docs(wad): adiciona textos de introducao e conclusao ao comando de testes e ao relatorio de cobertura #190","docs(wad): adiciona textos de introducao e conclusao ao comando de testes e ao relatorio de cobertura #190
"
"1","85","20230425","2023-04-25T12:17:20.000-03:00","20230425","2023-04-25T12:17:20.000-03:00","0","14","0","14","G01","1f24636a","Update WAD.MD","Update WAD.MD"
"1","62","20250617","2025-06-17T15:43:37.000-03:00","20250617","2025-06-17T15:43:37.000-03:00","0","1","1","2","G01","1f8bf681","Update README.md remove a exigência de link de deploy","Update README.md remove a exigência de link de deploy"
"1","13","20260424","2026-04-24T09:18:42.000-03:00","20260424","2026-04-24T09:18:42.000-03:00","0","29","2","31","G01","205bc809","docs: adicione texto e fontes das 5 forças de Porter #3.","docs: adicione texto e fontes das 5 forças de Porter #3.
"
"1","84","20250318","2025-03-18T15:36:08.000-03:00","20250318","2025-03-18T15:36:08.000-03:00","0","9","11","20","G01","21af38eb","Update wad.md ajustes de sprint","Update wad.md ajustes de sprint"
"1","17","20260514","2026-05-14T17:34:33.000+00:00","20260514","2026-05-14T17:34:33.000+00:00","1","40","137","177","G01","21d54336","Merge branch 'feat/g01/reformula-template' into 'main'","Merge branch 'feat/g01/reformula-template' into 'main'

feat:reformula template e migrate.ts

See merge request graduacao/2026-1b/t28/g01!33"
"1","14","20260623","2026-06-23T18:51:20.000-03:00","20260623","2026-06-23T18:51:20.000-03:00","0","337","19","356","G01","223f29ad","refactor/corrige-fluxo-desolicitacoes/(#260)","refactor/corrige-fluxo-desolicitacoes/(#260)
"
"1","17","20260626","2026-06-26T12:50:42.000-03:00","20260626","2026-06-26T12:50:42.000-03:00","0","7490","7474","14964","G01","22aefd0b","fix(wad): corrigir wad (#304)","fix(wad): corrigir wad (#304)
"
"1","15","20260502","2026-05-02T02:59:29.000+00:00","20260502","2026-05-02T02:59:29.000+00:00","1","196","153","349","G01","22edb03f","Merge branch 'main' into 'docs/wad/adiciona-fonte-imagens'","Merge branch 'main' into 'docs/wad/adiciona-fonte-imagens'

# Conflicts:
#   documentos/wad.md"
"1","84","20250403","2025-04-03T18:03:16.000-03:00","20250403","2025-04-03T18:03:16.000-03:00","1","1","1","2","G01","23104566","Merge pull request #2 from [externo]/patch-2","Merge pull request #2 from [externo]/patch-2

Altera Sprint da Arquitetura para 3."
"1","12","20260530","2026-05-30T01:55:26.000-03:00","20260530","2026-05-30T01:55:26.000-03:00","0","35","6","41","G01","23185370","docs(wad): adiciona as imagens do prototipo de alta fidelidade a seção 3.5 #178","docs(wad): adiciona as imagens do prototipo de alta fidelidade a seção 3.5 #178
"
"1","84","20250411","2025-04-11T15:10:59.000-03:00","20250411","2025-04-11T15:10:59.000-03:00","1","6","2","8","G01","2324362b","Merge pull request #7 from [externo]/patch-2","Merge pull request #7 from [externo]/patch-2

Adicionei detalhes nas descrições de negócios"
"1","14","20260622","2026-06-22T08:21:10.000-03:00","20260622","2026-06-22T08:21:10.000-03:00","0","201","3","204","G01","23833d8b","test: add service unit coverage","test: add service unit coverage
"
"1","12","20260609","2026-06-09T15:48:25.000-03:00","20260609","2026-06-09T15:48:25.000-03:00","0","11","7","18","G01","23ed67d3","docs(wad): preenche secao 6.2.2 tamanho e crescimento do mercado #201","docs(wad): preenche secao 6.2.2 tamanho e crescimento do mercado #201
"
"1","17","20260525","2026-05-25T18:22:33.000+00:00","20260525","2026-05-25T18:22:33.000+00:00","1","2932","146","3078","G01","241db66c","Merge branch 'integra-partes-sistema' into 'main'","Merge branch 'integra-partes-sistema' into 'main'

testes realizados para a controller de atualização de produção, incluindo a...

See merge request graduacao/2026-1b/t28/g01!53"
"1","15","20260624","2026-06-24T15:08:00.000-03:00","20260624","2026-06-24T15:08:00.000-03:00","1","2842","1801","4643","G01","241ec18a","docs(wad): atualiza seção 3.8 de autenticação e resiliência #273","docs(wad): atualiza seção 3.8 de autenticação e resiliência #273
"
"1","15","20260623","2026-06-23T11:23:34.000-03:00","20260623","2026-06-23T11:23:34.000-03:00","0","46","3","49","G01","24592d32","docs(wad): finalizar conclusoes e trabalhos futuros da sprint 5 #256","docs(wad): finalizar conclusoes e trabalhos futuros da sprint 5 #256
"
"1","85","20230425","2023-04-25T12:24:52.000-03:00","20230425","2023-04-25T12:24:52.000-03:00","0","3","0","3","G01","2477b2f5","Update WAD.MD","Update WAD.MD"
"1","85","20260417","2026-04-17T07:44:41.000-03:00","20260417","2026-04-17T07:44:41.000-03:00","0","0","0","0","G01","24872086","chore: adiciona [externo].[externo] como reviewer do MR","chore: adiciona [externo].[externo] como reviewer do MR

Co-Authored-By: Claude Opus 4.7 (1M context) <[email]>
"
"1","84","20220621","2022-06-21T14:27:02.000-03:00","20220621","2022-06-21T14:27:02.000-03:00","0","2","2","4","G01","24f5ad82",":art: update readme.md",":art: update readme.md"
"1","15","20260612","2026-06-12T01:30:38.000+00:00","20260612","2026-06-12T01:30:38.000+00:00","1","17573","58","17631","G01","2540ad76","Merge branch 'feat/implementacao-front-end/#197' into 'main'","Merge branch 'feat/implementacao-front-end/#197' into 'main'

Feat/implementacao front end/#197

See merge request graduacao/2026-1b/t28/g01!101"
