grupo,commit_id,autor_id,autorado_em,commitado_em,e_merge,linhas_adicionadas,linhas_removidas,linhas_total,titulo,mensagem
G01,2477b2f5,[externo],2023-04-25T12:24:52.000-03:00,2023-04-25T12:24:52.000-03:00,0,3,0,3,Update WAD.MD,Update WAD.MD
G01,649ea76e,[externo],2023-04-25T12:48:55.000-03:00,2023-04-25T12:48:55.000-03:00,0,2,1,3,Update WAD.MD,Update WAD.MD
G01,488e5671,[externo],2023-04-25T12:51:10.000-03:00,2023-04-25T12:51:10.000-03:00,0,1,0,1,Add files via upload,Add files via upload
G01,2d63878e,[externo],2023-04-25T12:54:42.000-03:00,2023-04-25T12:54:42.000-03:00,0,1,1,2,Update and rename WAD.MD to WAD.md,Update and rename WAD.MD to WAD.md
G01,7b83ed9c,[externo],2023-04-25T13:05:38.000-03:00,2023-04-25T13:05:38.000-03:00,0,0,2,2,Update WAD.md,Update WAD.md
G01,7f782f9a,[externo],2023-04-25T13:06:06.000-03:00,2023-04-25T13:06:06.000-03:00,0,0,1,1,Update WAD.md,Update WAD.md
G01,39c320ad,[externo],2023-04-25T13:13:49.000-03:00,2023-04-25T13:13:49.000-03:00,0,0,6,6,Removendo arquivos de teste,"Removendo arquivos de teste
"
G01,84aaa49f,[externo],2023-06-01T20:11:05.000-03:00,2023-06-01T20:11:05.000-03:00,0,25,233,258,Atualização README e arquivos de instrução,"Atualização README e arquivos de instrução
"
G01,2823bfde,[bot],2023-06-01T20:20:02.000-03:00,2023-06-01T20:20:02.000-03:00,0,3,3,6,Update README.md,Update README.md
G01,cb10fc5f,[bot],2023-06-02T09:44:43.000-03:00,2023-06-02T09:44:43.000-03:00,0,0,0,0,Delete grafico.png,Delete grafico.png
G01,63dfc7b5,[bot],2023-06-02T12:01:55.000-03:00,2023-06-02T12:01:55.000-03:00,0,1,1,2,Update README.md,Update README.md
G01,ad042a26,[bot],2023-06-02T12:06:56.000-03:00,2023-06-02T12:06:56.000-03:00,0,0,0,0,Add files via upload,Add files via upload
G01,a8591e52,[bot],2023-06-02T12:09:04.000-03:00,2023-06-02T12:09:04.000-03:00,0,1,1,2,Update README.md,Update README.md
G01,3e6e8171,[bot],2023-06-02T14:58:27.000-03:00,2023-06-02T14:58:27.000-03:00,0,7,0,7,Update README.md,Update README.md
G01,be1f6880,[bot],2023-06-04T12:01:17.000-03:00,2023-06-04T12:01:17.000-03:00,0,1,1,2,Update README.md,Update README.md
G01,70f468e3,[bot],2023-06-04T12:09:53.000-03:00,2023-06-04T12:09:53.000-03:00,0,1,1,2,Update README.md,Update README.md
G01,ef41c5e4,[bot],2024-04-14T10:21:26.000-03:00,2024-04-14T10:21:26.000-03:00,0,226,81,307,Atualização do template para 2024.1B,Atualização do template para 2024.1B
G01,b577bb98,[bot],2024-04-14T10:23:32.000-03:00,2024-04-14T10:23:32.000-03:00,0,4,3,7,atualização do template User Story,atualização do template User Story
G01,7caeed31,[bot],2024-04-14T10:55:16.000-03:00,2024-04-14T10:55:16.000-03:00,0,1,1,2,correção de numeração das seções,correção de numeração das seções
G01,44f6b202,[bot],2024-04-14T12:07:38.000-03:00,2024-04-14T12:07:38.000-03:00,0,4,0,4,inclusão da seção de SQL + lógica proposicional,inclusão da seção de SQL + lógica proposicional
G01,e4effeaa,[bot],2024-04-14T12:08:05.000-03:00,2024-04-14T12:08:05.000-03:00,0,1,1,2,correção de título de seção,correção de título de seção
G01,0aa78187,[bot],2024-05-11T19:02:53.000-03:00,2024-05-11T19:02:53.000-03:00,0,4,8,12,Atualização de seções 4.x do WAD,Atualização de seções 4.x do WAD
G01,dc1139a5,[bot],2024-05-14T13:48:23.000-03:00,2024-05-14T13:48:23.000-03:00,0,20,1,21,Inclusão do template de SQL + lógica proposicional (artefato 9),Inclusão do template de SQL + lógica proposicional (artefato 9)
G01,e4275903,[bot],2024-05-14T15:25:40.000-03:00,2024-05-14T15:25:40.000-03:00,0,3,12,15,Ajuste de formatação da tabela verdade na seção 3.5.2,Ajuste de formatação da tabela verdade na seção 3.5.2
G01,21af38eb,[bot],2025-03-18T15:36:08.000-03:00,2025-03-18T15:36:08.000-03:00,0,9,11,20,Update wad.md ajustes de sprint,Update wad.md ajustes de sprint
G01,dbe5bf0a,[bot],2025-03-24T11:13:48.000-03:00,2025-03-24T11:13:48.000-03:00,0,2,2,4,docs(wad): ajuste no texto da seção de testes,docs(wad): ajuste no texto da seção de testes
G01,df849751,[bot],2025-03-24T11:57:27.000-03:00,2025-03-24T11:57:27.000-03:00,0,2,2,4,docs(wad): atualialização para testes de endpoints,docs(wad): atualialização para testes de endpoints
G01,6697b426,[bot],2025-03-27T08:35:52.000-03:00,2025-03-27T08:35:52.000-03:00,0,2,1,3,Update wad.md User Stories atualizadas,Update wad.md User Stories atualizadas
G01,06ab8922,[bot],2025-04-01T14:00:44.000-03:00,2025-04-01T14:00:44.000-03:00,0,1,1,2,Corrige plural,Corrige plural
G01,cd497ca1,[bot],2025-04-01T15:07:59.000-03:00,2025-04-01T15:07:59.000-03:00,0,1,1,2,Altera Sprint da Arquitetura para 3.,Altera Sprint da Arquitetura para 3.
G01,d841b70c,[bot],2025-04-02T17:58:27.000-03:00,2025-04-02T17:58:27.000-03:00,0,2,2,4,Adiciona indicação da sprint 4 nos itens 3.1 e 3.5.,Adiciona indicação da sprint 4 nos itens 3.1 e 3.5.
G01,99b5da11,[bot],2025-04-03T18:03:02.000-03:00,2025-04-03T18:03:02.000-03:00,1,1,1,2,Merge pull request #1 from [externo]/patch-1,"Merge pull request #1 from [externo]/patch-1

Corrige plural"
G01,23104566,[bot],2025-04-03T18:03:16.000-03:00,2025-04-03T18:03:16.000-03:00,1,1,1,2,Merge pull request #2 from [externo]/patch-2,"Merge pull request #2 from [externo]/patch-2

Altera Sprint da Arquitetura para 3."
G01,4aa4968f,[bot],2025-04-03T18:35:34.000-03:00,2025-04-03T18:35:34.000-03:00,0,17,21,38,Altera item 2.1. em função do Artefato de Negócios da Sprint 1.,Altera item 2.1. em função do Artefato de Negócios da Sprint 1.
G01,6bd1db72,[bot],2025-04-03T18:36:43.000-03:00,2025-04-03T18:36:43.000-03:00,0,34,6,40,Update wad.md inclusão do 2º artefato de Negócios,Update wad.md inclusão do 2º artefato de Negócios
G01,e1f891e6,[bot],2025-04-07T09:32:22.000-03:00,2025-04-07T09:32:22.000-03:00,0,2,0,2,Add informação na Introdução,Add informação na Introdução
G01,e58b6165,[bot],2025-04-07T09:47:31.000-03:00,2025-04-07T09:47:31.000-03:00,0,10,2,12,Adicionei detalhes nas descrições de negócios,Adicionei detalhes nas descrições de negócios
G01,8228a02e,[bot],2025-04-07T10:46:36.000-03:00,2025-04-07T10:46:36.000-03:00,0,39,6,45,Inserção das descrições da seção 6 - Negócios,Inserção das descrições da seção 6 - Negócios
G01,d9b40e9e,[bot],2025-04-11T15:06:26.000-03:00,2025-04-11T15:06:26.000-03:00,1,17,21,38,Merge pull request #5 from [externo]/patch-5,"Merge pull request #5 from [externo]/patch-5

Altera item 2.1. em função do Artefato de Negócios da Sprint 1."
G01,36054d0c,[bot],2025-04-11T15:07:37.000-03:00,2025-04-11T15:07:37.000-03:00,1,2,0,2,Merge pull request #6 from [externo]/patch-1,"Merge pull request #6 from [externo]/patch-1

Add informação na Introdução"
G01,3e502096,[bot],2025-04-11T15:10:47.000-03:00,2025-04-11T15:10:47.000-03:00,1,17,23,40,Merge branch 'main' into patch-2,Merge branch 'main' into patch-2
G01,2324362b,[bot],2025-04-11T15:10:59.000-03:00,2025-04-11T15:10:59.000-03:00,1,6,2,8,Merge pull request #7 from [externo]/patch-2,"Merge pull request #7 from [externo]/patch-2

Adicionei detalhes nas descrições de negócios"
G01,30f567dd,[bot],2025-04-11T15:15:40.000-03:00,2025-04-11T15:15:40.000-03:00,0,11,7,18,Update wad.md ajustes de listas,Update wad.md ajustes de listas
G01,c7b5dc06,[bot],2025-04-11T15:18:03.000-03:00,2025-04-11T15:18:03.000-03:00,1,39,6,45,Merge pull request #9 from [externo]/patch-4,"Merge pull request #9 from [externo]/patch-4

Inserção das descrições da seção 6 - Negócios"
G01,29370f6f,[bot],2025-04-11T16:14:10.000-03:00,2025-04-11T16:14:10.000-03:00,1,94,27,121,Merge branch 'main' into patch-4,Merge branch 'main' into patch-4
G01,66f8e4a4,[bot],2025-04-11T16:14:17.000-03:00,2025-04-11T16:14:17.000-03:00,1,4,4,8,Merge pull request #4 from [externo]/patch-4,"Merge pull request #4 from [externo]/patch-4

Adiciona indicação da sprint 4 nos itens 3.1 e 3.5."
G01,6bddfd9c,[bot],2025-06-01T23:23:45.000-03:00,2025-06-01T23:23:45.000-03:00,0,3,3,6,Update wad.md - correções de numeração das subseções da seção 6,Update wad.md - correções de numeração das subseções da seção 6
G01,1f8bf681,G03-A06,2025-06-17T15:43:37.000-03:00,2025-06-17T15:43:37.000-03:00,0,1,1,2,Update README.md remove a exigência de link de deploy,Update README.md remove a exigência de link de deploy
G01,e55bd188,[externo],2026-04-17T07:41:23.000-03:00,2026-04-17T07:41:23.000-03:00,0,172,22,194,"docs(wad): expande estrutura técnica com requisitos, RTM e estratégia de testes","docs(wad): expande estrutura técnica com requisitos, RTM e estratégia de testes

- adiciona 3.1 Requisitos (RF numerados, RN, 8 eixos RNF ISO/IEC 25010, matriz RF-RN-Endpoint)
- expande 3.2 Arquitetura com casos de uso, classes, sequência, atividades/estados, implantação e padrões de G01-A26
- reestrutura 3.6 Modelagem do banco com ER, DER, modelo físico/migrations separados
- adiciona 3.8 Autenticação, Autorização e Resiliência
- adiciona 3.9 Matriz de Rastreabilidade (RTM)
- reestrutura seção 5 com estratégia de testes por camada, cobertura de Service ≥80% e checklists de Nielsen e acessibilidade

Co-Authored-By: Claude Opus 4.7 (1M context) <[email]>
"
G01,24872086,[externo],2026-04-17T07:44:41.000-03:00,2026-04-17T07:44:41.000-03:00,0,0,0,0,chore: adiciona [externo].[externo] como reviewer do MR,"chore: adiciona [externo].[externo] como reviewer do MR

Co-Authored-By: Claude Opus 4.7 (1M context) <[email]>
"
G01,fb7c0a7a,[externo],2026-04-17T07:41:23.000-03:00,2026-04-17T08:41:48.000-03:00,0,172,22,194,"docs(wad): expande estrutura técnica com requisitos, RTM e estratégia de testes","docs(wad): expande estrutura técnica com requisitos, RTM e estratégia de testes

- adiciona 3.1 Requisitos (RF numerados, RN, 8 eixos RNF ISO/IEC 25010, matriz RF-RN-Endpoint)
- expande 3.2 Arquitetura com casos de uso, classes, sequência, atividades/estados, implantação e padrões de G01-A26
- reestrutura 3.6 Modelagem do banco com ER, DER, modelo físico/migrations separados
- adiciona 3.8 Autenticação, Autorização e Resiliência
- adiciona 3.9 Matriz de Rastreabilidade (RTM)
- reestrutura seção 5 com estratégia de testes por camada, cobertura de Service ≥80% e checklists de Nielsen e acessibilidade

Co-Authored-By: Claude Opus 4.7 (1M context) <[email]>
"
G01,1d571b9a,[externo],2026-04-17T17:34:00.000-03:00,2026-04-17T17:34:00.000-03:00,0,6,46,52,docs(wad): reverte seção 5 para estrutura original com foco em Jest,"docs(wad): reverte seção 5 para estrutura original com foco em Jest

Retorna à estrutura original de duas subseções (5.1 integração automatizada
e 5.2 usabilidade), mantendo apenas white-box/black-box com Jest e removendo
heurísticas Nielsen e acessibilidade — escopo do time de UX.

Co-Authored-By: Claude Opus 4.7 (1M context) <[email]>
"
G01,03172236,G03-A06,2026-04-19T20:03:38.000-03:00,2026-04-19T20:03:38.000-03:00,0,6,0,6,Inclusão das seções para testes de guerrilha (5.2.1) e testes SUS (5.2.2),Inclusão das seções para testes de guerrilha (5.2.1) e testes SUS (5.2.2)
G01,c3d957eb,[externo],2026-04-23T14:28:43.000-03:00,2026-04-23T14:28:43.000-03:00,0,8,7,15,docs(student): adiciona lista completa de integrantes no README,"docs(student): adiciona lista completa de integrantes no README
"
G01,205bc809,G01-A13,2026-04-24T09:18:42.000-03:00,2026-04-24T09:18:42.000-03:00,0,29,2,31,docs: adicione texto e fontes das 5 forças de Porter #3.,"docs: adicione texto e fontes das 5 forças de Porter #3.
"
G01,12decd7c,[externo],2026-04-27T14:05:52.000-03:00,2026-04-27T14:05:52.000-03:00,0,5,7,12,docs(wad) adiciona introducao #2,"docs(wad) adiciona introducao #2
"
G01,04b2c166,[externo],2026-04-27T14:42:55.000-03:00,2026-04-27T14:42:55.000-03:00,0,13,2,15,docs(WAD): Adiciona a imagem e o texto da matriz swot na seção 2.1.2 #17,"docs(WAD): Adiciona a imagem e o texto da matriz swot na seção 2.1.2 #17
"
G01,ecce42f3,G01-A12,2026-04-27T15:25:15.000-03:00,2026-04-27T15:25:15.000-03:00,0,11,10,21,docs(wad): corrige o texto das 5 forças de Poter's para voz passiva analitica #22,"docs(wad): corrige o texto das 5 forças de Poter's para voz passiva analitica #22
"
G01,9aecf8e5,G01-A12,2026-04-27T15:34:06.000-03:00,2026-04-27T15:34:06.000-03:00,0,2,0,2,docs(wad): adiciona a imagem das 5 forças de Poter's a seção 2.1.1 #21,"docs(wad): adiciona a imagem das 5 forças de Poter's a seção 2.1.1 #21
"
G01,9be143f7,G01-A13,2026-04-27T15:49:40.000-03:00,2026-04-27T15:49:40.000-03:00,0,34,7,41,docs: adiciona seção 2.1.3 wad.md #24,"docs: adiciona seção 2.1.3 wad.md #24
"
G01,000d6fbf,[bot],2026-04-27T15:52:22.000-03:00,2026-04-27T15:52:22.000-03:00,0,101,103,204,docs(wad): adiciona introdução e relação do value proposition canvas na seção 2.1.4 (#6),"docs(wad): adiciona introdução e relação do value proposition canvas na seção 2.1.4 (#6)
"
G01,c31dc915,[bot],2026-04-27T16:33:17.000-03:00,2026-04-27T16:33:17.000-03:00,0,3,3,6,docs(wad): adiciona imagem do Value Proposition Canvas (#6),"docs(wad): adiciona imagem do Value Proposition Canvas (#6)
"
G01,b6b6ca23,G01-A15,2026-04-27T17:26:43.000+00:00,2026-04-27T17:26:43.000+00:00,1,5,7,12,Merge branch 'feat/wad/adicionar-introducao' into 'main',"Merge branch 'feat/wad/adicionar-introducao' into 'main'

docs(wad) adiciona introducao #2

See merge request graduacao/2026-1b/t28/g01!1"
G01,610b288d,G01-A12,2026-04-27T17:49:26.000+00:00,2026-04-27T17:49:26.000+00:00,1,13,2,15,Merge branch 'docs/WAD/adicionar-analise-swot' into 'main',"Merge branch 'docs/WAD/adicionar-analise-swot' into 'main'

docs(WAD): Adiciona a imagem e o texto da matriz swot na seção 2.1.2 #17

See merge request graduacao/2026-1b/t28/g01!2"
G01,6b9a8750,G01-A15,2026-04-27T18:50:44.000+00:00,2026-04-27T18:50:44.000+00:00,1,32,2,34,Merge branch 'docs/5-forças-wad' into 'main',"Merge branch 'docs/5-forças-wad' into 'main'

Docs/5 forças wad

See merge request graduacao/2026-1b/t28/g01!3"
G01,fa363db8,[externo],2026-04-27T18:53:53.000+00:00,2026-04-27T18:53:53.000+00:00,1,34,7,41,Merge branch 'docs/descricao-solucao-wad' into 'main',"Merge branch 'docs/descricao-solucao-wad' into 'main'

docs: adiciona seção 2.1.3 wad.md #24

See merge request graduacao/2026-1b/t28/g01!4"
G01,441c7511,G01-A14,2026-04-27T20:46:54.000-03:00,2026-04-27T20:46:54.000-03:00,0,97,2,99,doc(wad): Matriz de Riscos,"doc(wad): Matriz de Riscos
"
G01,69dee2b1,G01-A14,2026-04-27T23:50:25.000+00:00,2026-04-27T23:50:25.000+00:00,1,78,11,89,Merge branch 'main' into 'docs/Canvas-De-Proposta-De-Valor/#6',"Merge branch 'main' into 'docs/Canvas-De-Proposta-De-Valor/#6'

# Conflicts:
#   documentos/wad.md"
G01,01b818f0,[externo],2026-04-28T12:21:19.000+00:00,2026-04-28T12:21:19.000+00:00,1,97,2,99,Merge branch 'doc/wad/Matriz-De-Riscos/#7' into 'main',"Merge branch 'doc/wad/Matriz-De-Riscos/#7' into 'main'

doc(wad): Matriz de Riscos

See merge request graduacao/2026-1b/t28/g01!6"
G01,7e3bbb28,[externo],2026-04-28T14:53:09.000-03:00,2026-04-28T14:53:09.000-03:00,0,12,6,18,docs(wad):Coloca requisitos funcionais #11,"docs(wad):Coloca requisitos funcionais #11
"
G01,4b745ba7,[bot],2026-04-28T15:13:20.000-03:00,2026-04-28T15:13:20.000-03:00,0,19,23,42,docs(wad): adicionando regras de negócios (#12),"docs(wad): adicionando regras de negócios (#12)
"
G01,536a97cf,[externo],2026-04-28T15:16:35.000-03:00,2026-04-28T15:16:35.000-03:00,0,8,10,18,docs(wad): adiciona requisito não funcional no wad.md #13,"docs(wad): adiciona requisito não funcional no wad.md #13
"
G01,6176f3fd,G01-A12,2026-04-28T15:35:16.000-03:00,2026-04-28T15:35:16.000-03:00,0,0,0,0,docs(wad): adiciona os 3 templates das personas a seção 2.2,"docs(wad): adiciona os 3 templates das personas a seção 2.2
"
G01,77807f44,G01-A12,2026-04-28T15:54:36.000-03:00,2026-04-28T15:54:36.000-03:00,0,29,2,31,docs(wad): preenche a seção 2.2 referente as personas,"docs(wad): preenche a seção 2.2 referente as personas
"
G01,42c622fb,G01-A17,2026-04-28T18:16:38.000+00:00,2026-04-28T18:16:38.000+00:00,1,12,6,18,Merge branch 'docs/WAD/Coloca-requisitos-funcionais/#11' into 'main',"Merge branch 'docs/WAD/Coloca-requisitos-funcionais/#11' into 'main'

docs(wad):Coloca requisitos funcionais #11

See merge request graduacao/2026-1b/t28/g01!7"
G01,08d54194,[externo],2026-04-28T18:42:35.000+00:00,2026-04-28T18:42:35.000+00:00,1,109,8,117,Merge branch 'main' into 'docs/regras-de-negócio/#12',"Merge branch 'main' into 'docs/regras-de-negócio/#12'

# Conflicts:
#   documentos/wad.md


"
G01,b79d1cd1,[externo],2026-04-28T18:44:33.000+00:00,2026-04-28T18:44:33.000+00:00,1,109,116,225,Merge branch 'docs/regras-de-negócio/#12' into 'main',"Merge branch 'docs/regras-de-negócio/#12' into 'main'

Docs/regras de negócio/#12

See merge request graduacao/2026-1b/t28/g01!9"
G01,a79994b6,[externo],2026-04-28T18:45:42.000+00:00,2026-04-28T18:45:42.000+00:00,1,119,120,239,Merge branch 'main' into 'docs/wad.md/adiciona-requisitos-nao-funcionais',"Merge branch 'main' into 'docs/wad.md/adiciona-requisitos-nao-funcionais'

# Conflicts:
#   documentos/wad.md"
G01,89ad08e9,[externo],2026-04-28T18:46:15.000+00:00,2026-04-28T18:46:15.000+00:00,1,9,11,20,Merge branch 'docs/wad.md/adiciona-requisitos-nao-funcionais' into 'main',"Merge branch 'docs/wad.md/adiciona-requisitos-nao-funcionais' into 'main'

docs(wad): adiciona requisito não funcional #13

See merge request graduacao/2026-1b/t28/g01!8"
G01,582c11dd,G01-A14,2026-04-28T19:01:55.000+00:00,2026-04-28T19:01:55.000+00:00,1,125,129,254,Merge branch 'main' into 'docs/wad/secao-2.2-referente-as-personas',"Merge branch 'main' into 'docs/wad/secao-2.2-referente-as-personas'

# Conflicts:
#   documentos/wad.md"
G01,85792fed,G01-A14,2026-04-28T19:02:03.000+00:00,2026-04-28T19:02:03.000+00:00,1,28,2,30,Merge branch 'docs/wad/secao-2.2-referente-as-personas' into 'main',"Merge branch 'docs/wad/secao-2.2-referente-as-personas' into 'main'

Docs/wad/secao 2.2 referente as personas

See merge request graduacao/2026-1b/t28/g01!10"
G01,d27f394e,[bot],2026-04-29T14:48:56.000-03:00,2026-04-29T14:48:56.000-03:00,0,27,36,63,docs(pastas): organizando pasta assets dentro de documents e arrumando o caminho das imagens #32,"docs(pastas): organizando pasta assets dentro de documents e arrumando o caminho das imagens #32
"
G01,bf3e1390,[bot],2026-04-29T15:15:07.000-03:00,2026-04-29T15:15:07.000-03:00,0,7,1,8,docs(wad): adicionando introducao e conclusao da secao 3.1.2 Regras de Negocios #33,"docs(wad): adicionando introducao e conclusao da secao 3.1.2 Regras de Negocios #33
"
G01,eaf81557,[externo],2026-04-29T15:16:50.000-03:00,2026-04-29T15:16:50.000-03:00,0,15,13,28,docs/wad/redigir-user-storys/#31,"docs/wad/redigir-user-storys/#31
"
G01,3a86e050,[externo],2026-04-29T15:21:11.000-03:00,2026-04-29T15:21:11.000-03:00,0,19,13,32,docs(wad): Atualiza os requisitos funcionais baseado nas regras de negocio #11,"docs(wad): Atualiza os requisitos funcionais baseado nas regras de negocio #11
"
G01,f9a1b874,[externo],2026-04-29T15:47:42.000-03:00,2026-04-29T15:47:42.000-03:00,0,156,13,169,docs/wad/ajustar-template-user-story/#31,"docs/wad/ajustar-template-user-story/#31
"
G01,cf6a9822,G01-A14,2026-04-29T15:53:40.000-03:00,2026-04-29T15:53:40.000-03:00,0,150,1,151,docs/wad/Use-Case/#30,"docs/wad/Use-Case/#30
"
G01,2a75265b,[externo],2026-04-29T18:53:08.000+00:00,2026-04-29T18:53:08.000+00:00,1,19,13,32,Merge branch 'main' into 'docs/introducao-regras-de-negocio/#33',"Merge branch 'main' into 'docs/introducao-regras-de-negocio/#33'

# Conflicts:
#   documentos/wad.md"
G01,0bf492db,[externo],2026-04-29T18:53:12.000+00:00,2026-04-29T18:53:12.000+00:00,1,22,25,47,Merge branch 'docs/introducao-regras-de-negocio/#33' into 'main',"Merge branch 'docs/introducao-regras-de-negocio/#33' into 'main'

Docs/introducao regras de negocio/#33

See merge request graduacao/2026-1b/t28/g01!12"
G01,cd42089e,[externo],2026-04-29T22:35:42.000-03:00,2026-04-29T22:35:42.000-03:00,0,5,1,6,docs(wad):adiciona o caminho correto para a imagem do canvas de valor,"docs(wad):adiciona o caminho correto para a imagem do canvas de valor
"
G01,743eb10a,[externo],2026-04-29T22:43:30.000-03:00,2026-04-29T22:43:30.000-03:00,1,326,35,361,docs(wad):adiciona o caminho correto para a imagem do canvas de valor,"docs(wad):adiciona o caminho correto para a imagem do canvas de valor
"
G01,a21feb2e,[externo],2026-04-29T22:59:02.000-03:00,2026-04-29T22:59:02.000-03:00,0,32,30,62,docs(wad):muda todos os textos para a voz passiva analitica #35,"docs(wad):muda todos os textos para a voz passiva analitica #35
"
G01,2e052812,[externo],2026-04-29T23:08:54.000-03:00,2026-04-29T23:08:54.000-03:00,0,32,19,51,docs(wad):adiciona fonte e conserta os titulos de todas as imagens #35,"docs(wad):adiciona fonte e conserta os titulos de todas as imagens #35
"
G01,4469dca2,G01-A14,2026-04-29T23:25:48.000-03:00,2026-04-29T23:25:48.000-03:00,0,104,47,151,dosc/wad: altera o Use Case e adiona imagem de diagrama de Use Case,"dosc/wad: altera o Use Case e adiona imagem de diagrama de Use Case
"
G01,61dff1db,[externo],2026-04-29T23:40:58.000-03:00,2026-04-29T23:40:58.000-03:00,0,567,185,752,docs(wad):atualiza RNF de acordo com criterios de avaliação e organiza todo o docs para atender os criterios de avaliação #35,"docs(wad):atualiza RNF de acordo com criterios de avaliação e organiza todo o docs para atender os criterios de avaliação #35
"
G01,e2656bbf,[externo],2026-04-29T23:44:34.000-03:00,2026-04-29T23:44:34.000-03:00,0,7,0,7,docs(wad):adiciona texto de introdução e fechamentos nos RNF e RF #35,"docs(wad):adiciona texto de introdução e fechamentos nos RNF e RF #35
"
G01,72a1518a,G01-A14,2026-04-30T01:09:20.000-03:00,2026-04-30T01:09:20.000-03:00,0,125,125,250,docs/wad: altera conteúdo do Use Case,"docs/wad: altera conteúdo do Use Case
"
G01,ab6f0dce,G01-A14,2026-04-30T01:15:04.000+00:00,2026-04-30T01:15:04.000+00:00,1,155,10,165,Merge branch 'docs/wad/redigir-user-storys/#31' into 'main',"Merge branch 'docs/wad/redigir-user-storys/#31' into 'main'

docs/wad/redigir-user-storys/#31

See merge request graduacao/2026-1b/t28/g01!13"
G01,a4d5742d,G01-A15,2026-04-30T01:37:09.000+00:00,2026-04-30T01:37:09.000+00:00,1,150,1,151,Merge branch 'docs/wad/Use-Case/#30' into 'main',"Merge branch 'docs/wad/Use-Case/#30' into 'main'

docs/wad/Use-Case/#30

See merge request graduacao/2026-1b/t28/g01!14"
G01,40627924,G01-A12,2026-04-30T02:43:38.000-03:00,2026-04-30T02:43:38.000-03:00,0,31,30,61,"docs(wad): realiza a identação das seções 1, 2 e 3 da documentação #36","docs(wad): realiza a identação das seções 1, 2 e 3 da documentação #36
"
G01,ddf8a0a5,G01-A12,2026-04-30T02:43:48.000+00:00,2026-04-30T02:43:48.000+00:00,1,104,47,151,Merge branch 'docs/wad/Use-Case-alteracao/#34' into 'main',"Merge branch 'docs/wad/Use-Case-alteracao/#34' into 'main'

dosc/wad: altera o Use Case e adiona imagem de diagrama de Use Case

See merge request graduacao/2026-1b/t28/g01!15"
G01,ccf64415,G01-A15,2026-04-30T02:54:52.000+00:00,2026-04-30T02:54:52.000+00:00,1,141,312,453,Merge branch 'main' into 'docs/WAD/revisao/#35',"Merge branch 'main' into 'docs/WAD/revisao/#35'

# Conflicts:
#   documentos/wad.md"
